Waktu	Tanggal
07.17.59	11-06-2023
07.55.16	11-06-2023
08.49.53	11-06-2023
09.43.03	11-06-2023
10.42.21	11-06-2023
11.23.46	11-06-2023
11.51.21	11-06-2023
12.27.09	11-06-2023
12.59.42	11-06-2023
14.50.43	11-06-2023
07.22.57	12-06-2023
07.52.42	12-06-2023
08.57.27	12-06-2023
09.43.50	12-06-2023
10.50.50	12-06-2023
11.26.18	12-06-2023
13.45.55	12-06-2023
16.04.10	12-06-2023
07.25.19	13-06-2023
08.01.41	13-06-2023
08.26.44	13-06-2023
08.51.14	13-06-2023
09.33.21	13-06-2023
10.05.02	13-06-2023
10.49.07	13-06-2023
11.35.49	13-06-2023
13.59.29	13-06-2023
07.30.06	14-06-2023
08.32.18	14-06-2023
09.21.42	14-06-2023
10.30.42	14-06-2023
12.20.41	14-06-2023
13.21.13	14-06-2023
14.44.28	14-06-2023
16.01.23	14-06-2023
07.52.51	15-06-2023
08.25.59	15-06-2023
09.02.11	15-06-2023
09.30.29	15-06-2023
10.42.58	15-06-2023
07.25.56	17-06-2023
07.52.00	17-06-2023
08.28.48	17-06-2023
09.52.49	17-06-2023
11.52.02	17-06-2023
12.54.24	17-06-2023
13.51.09	17-06-2023
14.50.33	17-06-2023
15.53.07	17-06-2023
07.29.10	18-06-2023
08.25.32	18-06-2023
09.14.40	18-06-2023
09.55.14	18-06-2023
11.58.55	18-06-2023
13.13.15	18-06-2023
13.44.37	18-06-2023
14.10.08	18-06-2023
07.54.53	19-06-2023
08.43.39	19-06-2023
09.07.57	19-06-2023
10.13.51	19-06-2023
11.03.04	19-06-2023
11.48.58	19-06-2023
12.06.28	19-06-2023
07.59.35	20-06-2023
09.04.08	20-06-2023
09.28.43	20-06-2023
09.55.24	20-06-2023
11.31.30	20-06-2023
11.58.02	20-06-2023
12.21.31	20-06-2023
13.29.08	20-06-2023
13.58.43	20-06-2023
14.11.45	20-06-2023
07.33.38	21-06-2023
08.29.52	21-06-2023
08.56.21	21-06-2023
09.17.36	21-06-2023
09.33.21	21-06-2023
09.56.05	21-06-2023
10.25.47	21-06-2023
10.59.23	21-06-2023
11.18.25	21-06-2023
11.54.50	21-06-2023
